location	lat	long
Argentina	-37.052315	-64.869142
Asia	30.451098	86.654576
Austria	47.5162	14.5501
Brazil	-14.2350	-51.9253
Croatia	45.1000	15.2000
Vietnam	16.00	108.00
South Africa	-26.195246	28.034088
India	28.644800	77.216721
Senegal	14.5001717	-14.4392276
Denmark	56.2639	9.5018
Democratic Republic of the Congo	-4.0383	21.7587
Nigeria	6.465422	3.406448
Dominican Republic	18.735693	-70.162651
Saudi Arabia	24.266906	45.107849
Chile	-36.739055	-71.0574941
Indonesia	-2.548926	118.0148634
Ecuador	-1.0541	-78.1489
Egypt	26.8206	30.8025
England	52.3555	-1.1743
Georgia	41.989378	43.597463
Ghana	7.811417	-1.089272
Iceland	64.90614	-18.4826
Iran	34.5732	51.876
Israel	31.217736	34.903129
Luxembourg	49.755428	6.119486
Norway	61.3109	8.73701
Panama	8.98333	-79.5166
Peru	-9.650468	-75.328211
Philippines	11.383086	123.521862
Sri Lanka	7.8731	80.7718
Turkey	39.046746	36.767068
Africa	4.070194	21.824559
Europe	49.646237	10.799454
North America	28.2367447	-97.738017
Oceania	-25.0562891	152.008576
South America	-13.083583	-58.470721
inde	20.593684	78.96288
états-unis	37.09024	-95.712891
dominique	15.414999	-61.370976
rép. dominicaine	18.735693	-70.162651
suisse	46.818188	8.227512
royaume-uni	55.378051	-3.435973
cuba	21.521757	-77.781167
australie	-25.274398	133.775136
puerto rico	18.220833	-66.590149
émirat arabes unis	23.424076	53.847818
martinique	14.641528	-61.024174
guadeloupe	16.995971	-62.067641
mexique	23.634501	-102.552784
costa rica	9.748917	-83.753428
colombie	4.570868	-74.297333
jamaìque	18.109581	-77.297508
cameroun	7.369722	12.354722
thailande	15.870032	100.992541
afrique du sud	-30.559482	22.937506
haiti	18.971187	-72.285215
iles vierges (é-u)	18.335765	-64.896335
guatemala	15.783471	-90.230759
nouvelle-zélande	-40.900557	174.885971
indonésie	-0.789275	113.921327
aruba	12.52111	-69.968338
pologne	51.919438	19.145136
republique tchèque	49.817492	15.472962
iles turques-caiques	21.694025	-71.797928
zimbabwe	-19.015438	29.154857
jordanie	30.585164	36.238414
argentine	-38.416097	-63.616672
sénégal	14.497401	-14.452362
iraq	33.223191	43.679291
algerie	28.033886	1.659626
maroc	31.791702	-7.09262
cambodge	12.565679	104.990963
